Contributeur,Nom MSS,ID,Manifest,Source,start,end,type,Siecle,Langue,Genre,Downloaded
JB,,Mslitt-0010-1,https://www.e-codices.unifr.ch/metadata/iiif/aev-Mslitt-0010-1/manifest.json,e-codices,,,medieval,,fro,epic,
TC,2282,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10515462z/manifest.json,gallica,,,medieval,16,fro,poesie,
TC,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10025358s/manifest.json,gallica,,,medieval,14,fro,hagio,
TC,2171,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509685z/manifest.json,gallica,,,medieval,13,fro,roman de tristan,
TC,2224,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b85397092/manifest.json,gallica,,,medieval,16,fro,psaumes,
TC,2063,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8529505f/manifest.json,gallica,,,medieval,14,fro,militaire-lapidaire,
TC,2043,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52510820h/manifest.json,gallica,,,medieval,15,fro,medecine,
TC,2095,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10025466p/manifest.json,gallica,,,medieval,14,fro,religieux,
TC,1753,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52507230r/manifest.json,gallica,,,medieval,14,fro,religieux,
TC,1761,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52000450j/manifest.json,gallica,,,medieval,13,fro,religieux,
TC,187,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10022387j/manifest.json,gallica,,,medieval,14,fro,religieux,
TC,334,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509662s/manifest.json,gallica,,,medieval,14,fro,roman de tristan,
TC,400,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105258207/manifest.json,gallica,,,medieval,14,fro,"traités,religieux",
TC,376,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84702013/manifest.json,gallica,,,medieval,14,fro,religieux,
TC,LATIN 17177,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105446322/manifest.json,gallica,,,medieval,Divers-Fragments,"fro,lat,grc",divers,
TC,Picardie 289,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b54100460q/manifest.json,gallica,,,medieval,12-15,fro,chartes,
TC,5963,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52510972v/manifest.json,gallica,,,medieval,14,fro,coutumier,
TC,25523,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000366g/manifest.json,gallica,,,medieval,14,fro,roman de tristan,
TC,26606,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b541003394/manifest.json,gallica,,,medieval,Divers-Fragments,fro,fragments,
TC,24428,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10527646p/manifest.json,gallica,,,medieval,13,fro,imagedumonde,
TC,14964,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55013438c/manifest.json,gallica,,,medieval,13,fro,Image du monde.,
TC,15211,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000798t/manifest.json,gallica,,,medieval,14,fro,chansons,
TC,11204,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525097003/manifest.json,gallica,,,medieval,Divers-Fragments,fro,fragments,
TC,24406,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b84386028/manifest.json,gallica,,,medieval,13,fro,chansons,
TC,Cod. Bodmer 129,cb-0129,https://www.e-codices.unifr.ch/metadata/iiif/fmb-cb-0129/manifest.json,e-codices,,,medieval,12,"lat,fro",poetry,
TC,Ms-1184,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550078004/manifest.json,gallica,,,medieval,12,"lat,fro",evangiles,
TC,Ms-612,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8490071m/manifest.json,gallica,,,medieval,10-11,"lat,fro",evangiles,
TC,Ms-1086,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b525091393/manifest.json,gallica,,,medieval,12,"lat,fro",epistolaire,
TC,"Toulouse. Bibliothèque municipale, Ms. 163",,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10560056n/manifest.json,gallica,,,medieval,12,"lat,fro,oci",religieux,
TC,Ms-294,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52509145q/manifest.json,gallica,,,medieval,12,"lat,fro",religieux,
TC,Ms-711,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52501503x/manifest.json,gallica,,,medieval,12-13,,"religieux,antiq",
